DISPLAY_NAME,NORMALIZED_NAME,FREQUENCY
Shape recovery,shape recovery,47
Signal programming,signal programming,47
Significand,significand,47
Silver bullet,silver bullet,47
Single-mode optical fiber,single mode optical fiber,47
Skin conductance,skin conductance,47
Small interfering RNA,small interfering rna,47
Smart material,smart material,47
Smooth surface,smooth surface,47
Social multimedia,social multimedia,47
Software analysis,software analysis,47
Software security,software security,47
Space-filling curve,space filling curve,47
Spatial pattern,spatial pattern,47
Special feature,special feature,47
Speed,speed,47
Spherical harmonic,spherical harmonic,47
Spiking neurons,spiking neurons,47
Stairs,stairs,47
Static memory allocation,static memory allocation,47
Statistical testing,statistical testing,47
Stress concentration,stress concentration,47
Subjective logic,subjective logic,47
Superframe,superframe,47
Synthesis methods,synthesis methods,47
TC0,tc0,47
Technical drawing tools,technical drawing tools,47
Terabit,terabit,47
Thermal analysis,thermal analysis,47
Thin client,thin client,47
Total variation distance of probability measures,total variation distance of probability measures,47
Traffic flow (computer networking),traffic flow,47
Transcendental function,transcendental function,47
Transductive learning,transductive learning,47
Transition rate matrix,transition rate matrix,47
Tsv,tsv,47
Turbulent flow,turbulent flow,47
Tying,tying,47
Underrepresented Minority,underrepresented minority,47
Underspecification,underspecification,47
Unintended consequences,unintended consequences,47
User interest,user interest,47
van der Waals force,van der waals force,47
VerbNet,verbnet,47
Virtual synchrony,virtual synchrony,47
Visual experience,visual experience,47
Wavelet Tree,wavelet tree,47
Wind wave,wind wave,47
Yield (engineering),yield,47
Absorbing Markov chain,absorbing markov chain,46
Abstract algebra,abstract algebra,46
Access technology,access technology,46
Active perception,active perception,46
Adjacent vertex,adjacent vertex,46
Aerosol,aerosol,46
Aggregate data,aggregate data,46
Algebraic element,algebraic element,46
Alloy,alloy,46
Alpha compositing,alpha compositing,46
Alternating bit protocol,alternating bit protocol,46
Amino acid residue,amino acid residue,46
Analog front-end,analog front end,46
Annals,annals,46
Api,api,46
Application portfolio management,application portfolio management,46
Arithmetic expressions,arithmetic expressions,46
Arithmetic operation,arithmetic operation,46
Assembly line,assembly line,46
Asynchronous,asynchronous,46
Attribute value,attribute value,46
Automatic classification,automatic classification,46
Axle,axle,46
Bankruptcy,bankruptcy,46
Binary linear codes,binary linear codes,46
Biological dispersal,biological dispersal,46
Biological Ontologies,biological ontologies,46
Biomarkers,biomarkers,46
Biometric system,biometric system,46
Blacklist,blacklist,46
Block ciphers,block ciphers,46
Cable television,cable television,46
Cellular array,cellular array,46
Change propagation,change propagation,46
Chassis,chassis,46
Classification error,classification error,46
Clinical information,clinical information,46
Coaxial,coaxial,46
Coincidence point,coincidence point,46
Common Intermediate Language,common intermediate language,46
Conductivity,conductivity,46
Connection-oriented communication,connection oriented communication,46
Continuous query,continuous query,46
Converged infrastructure,converged infrastructure,46
Core competency,core competency,46
Core set,core set,46
Covariance and contravariance,covariance and contravariance,46
Cross device,cross device,46
D/M/1 queue,d m 1 queue,46
Data base management system,data base management system,46
Data cache,data cache,46
Data management system,data management system,46
Data systems,data systems,46
DCE/RPC,dce rpc,46
Demand curve,demand curve,46
Depth,depth,46
Design study,design study,46
DICOM,dicom,46
Difference equations,difference equations,46
Different datasets,different datasets,46
Diffserv,diffserv,46
Discontinuous reception,discontinuous reception,46
Discourse connectives,discourse connectives,46
Discriminant function,discriminant function,46
Document handling,document handling,46
Document-term matrix,document term matrix,46
Donation,donation,46
Double-checked locking,double checked locking,46
Due date,due date,46
Dynamic network,dynamic network,46
Earliest deadline first,earliest deadline first,46
Economic surplus,economic surplus,46
Efficient processing,efficient processing,46
Electric power industry,electric power industry,46
Email spam,email spam,46
Enclosure,enclosure,46
Equitable coloring,equitable coloring,46
Exaggeration,exaggeration,46
Extended precision,extended precision,46
Fabric computing,fabric computing,46
Feature ranking,feature ranking,46
Financial institution,financial institution,46
Fire-control radar,fire control radar,46
Fitting,fitting,46
Frequent itemsets,frequent itemsets,46
Galois field,galois field,46
Game based learning,game based learning,46
Gaussian integer,gaussian integer,46
Gene set analysis,gene set analysis,46
Generalized Hebbian Algorithm,generalized hebbian algorithm,46
Global Map,global map,46
Grey level,grey level,46
Group activity,group activity,46
Group size,group size,46
Health problems,health problems,46
Hierarchical RBF,hierarchical rbf,46
High-level language,high level language,46
High pressure,high pressure,46
Holding cost,holding cost,46
Human factor,human factor,46
Humanoid robots,humanoid robots,46
Humidity,humidity,46
Hyperbolic space,hyperbolic space,46
Ic layout,ic layout,46
Iec standards,iec standards,46
Important application,important application,46
Important information,important information,46
Induction generator,induction generator,46
Industrial software,industrial software,46
Information agents,information agents,46
Information Fuzzy Networks,information fuzzy networks,46
Information measure,information measure,46
Integrated learning,integrated learning,46
Interchangeability,interchangeability,46
Internet governance,internet governance,46
Invisible computing,invisible computing,46
Irradiation,irradiation,46
Knight,knight,46
Known result,known result,46
Large screen,large screen,46
Late binding,late binding,46
Length distribution,length distribution,46
Linear optimization,linear optimization,46
Linear quadratic,linear quadratic,46
Linear scale,linear scale,46
Linear svm,linear svm,46
Locative case,locative case,46
M-estimator,m estimator,46
Market based,market based,46
Market value,market value,46
Markovian switching,markovian switching,46
Masonry,masonry,46
Mathematical modelling,mathematical modelling,46
Mbone,mbone,46
Mentorship,mentorship,46
Mereology,mereology,46
Message logging,message logging,46
Metonymy,metonymy,46
Miller,miller,46
Minimal surface,minimal surface,46
Mixin,mixin,46
Model compression,model compression,46
Model management,model management,46
Modified version,modified version,46
Modulo operation,modulo operation,46
Mortality rate,mortality rate,46
Motion prediction,motion prediction,46
MPEG-21,mpeg 21,46
Mri,mri,46
Multicategory,multicategory,46
Multidimensional parity-check code,multidimensional parity check code,46
Multimedia authoring,multimedia authoring,46
Multimedia servers,multimedia servers,46
Multiple objective,multiple objective,46
Nbti,nbti,46
Necklace,necklace,46
NetFPGA,netfpga,46
Network topologies,network topologies,46
New solution,new solution,46
Newton raphson,newton raphson,46
Novel application,novel application,46
NTRU,ntru,46
Oligopoly,oligopoly,46
Optimal asymmetric encryption padding,optimal asymmetric encryption padding,46
Paper discusses,paper discusses,46
Personal identity,personal identity,46
Physical network,physical network,46
Planning approach,planning approach,46
Polynomial arithmetic,polynomial arithmetic,46
Post-production,post production,46
PP,pp,46
Pre and post,pre and post,46
Probabilistic generative model,probabilistic generative model,46
Probabilistic roadmap,probabilistic roadmap,46
Probability space,probability space,46
Programmed cell death,programmed cell death,46
Projection (set theory),projection,46
Psychometrics,psychometrics,46
Query learning,query learning,46
Radix tree,radix tree,46
Rapid expansion,rapid expansion,46
Real-world application,real world application,46
Reducer,reducer,46
Reflexive pronoun,reflexive pronoun,46
Relaxation oscillator,relaxation oscillator,46
Reprogramming,reprogramming,46
Resource Management System,resource management system,46
Result list,result list,46
Retrofitting,retrofitting,46
Rocket,rocket,46
Sales management,sales management,46
Satellite data,satellite data,46
Science and technology,science and technology,46
Scientific publishing,scientific publishing,46
Semantic integrity,semantic integrity,46
Sentiment classification,sentiment classification,46
Shortest vector problem,shortest vector problem,46
Similar result,similar result,46
Single machine,single machine,46
Social sciences,social sciences,46
Social tags,social tags,46
Software archaeology,software archaeology,46
Software distribution,software distribution,46
Software model checking,software model checking,46
Spatial modulation,spatial modulation,46
Spectral signature,spectral signature,46
Specularity,specularity,46
SPIN model checker,spin model checker,46
Steering committee,steering committee,46
Storage hypervisor,storage hypervisor,46
Strain measurement,strain measurement,46
Stress field,stress field,46
Stress level,stress level,46
Summary statistics,summary statistics,46
Summation equation,summation equation,46
Syllogism,syllogism,46
System lifecycle,system lifecycle,46
Take over,take over,46
TEC,tec,46
Temporal scales,temporal scales,46
Thread safety,thread safety,46
Time-of-flight camera,time of flight camera,46
Toffoli gate,toffoli gate,46
Traditional Chinese medicine,traditional chinese medicine,46
Trellis quantization,trellis quantization,46
Truncation selection,truncation selection,46
Truth function,truth function,46
Unified Process,unified process,46
Union type,union type,46
Uniqueness theorem for Poisson's equation,uniqueness theorem for poisson s equation,46
Universal access,universal access,46
Unix filesystem,unix filesystem,46
Value network,value network,46
Vehicle control,vehicle control,46
Veto,veto,46
Visualisation,visualisation,46
Voice command device,voice command device,46
Voltage-controlled filter,voltage controlled filter,46
Walsh matrix,walsh matrix,46
Water flow,water flow,46
Word Association,word association,46
Word problem (mathematics),word problem,46
Word-sense induction,word sense induction,46
Workflow management,workflow management,46
Working paper,working paper,46
Xml databases,xml databases,46
Yaw,yaw,46
16-bit,16 bit,45
3D projection,3d projection,45
Abstraction level,abstraction level,45
Age progression,age progression,45
Analysis technique,analysis technique,45
Angular displacement,angular displacement,45
Array data type,array data type,45
Atomic sentence,atomic sentence,45
Automatic sequence,automatic sequence,45
Auxiliary particle filter,auxiliary particle filter,45
Bacillus subtilis,bacillus subtilis,45
Belief structure,belief structure,45
Bidirectional Forwarding Detection,bidirectional forwarding detection,45
Biological classification,biological classification,45
Brown Corpus,brown corpus,45
Browser security,browser security,45
Business-to-business,business to business,45
Cantor–Zassenhaus algorithm,cantor zassenhaus algorithm,45
Centralized database,centralized database,45
Chebyshev approximation,chebyshev approximation,45
Checkpointing,checkpointing,45
Chemicals,chemicals,45
Church–Turing thesis,church turing thesis,45
Citation network,citation network,45
Clock frequency,clock frequency,45
Closed loop control,closed loop control,45
Coefficient of variation,coefficient of variation,45
Common-mode signal,common mode signal,45
Community service,community service,45
Companding,companding,45
Compiler-compiler,compiler compiler,45
Computation theory,computation theory,45
Computational indistinguishability,computational indistinguishability,45
Computer resources,computer resources,45
Conditional distribution,conditional distribution,45
Conjoint analysis,conjoint analysis,45
Context free languages,context free languages,45
Cooley–Tukey FFT algorithm,cooley tukey fft algorithm,45
Cooperative MIMO,cooperative mimo,45
COSMIC cancer database,cosmic cancer database,45
Covariance matrices,covariance matrices,45
Customer needs,customer needs,45
Cyber security,cyber security,45
Damerau–Levenshtein distance,damerau levenshtein distance,45
Data locality,data locality,45
Data race,data race,45
Decomposition problem,decomposition problem,45
Delamination,delamination,45
Directional antennas,directional antennas,45
Discourse marker,discourse marker,45
Distributed management,distributed management,45
DOCK,dock,45
Doping,doping,45
Dynamic power management,dynamic power management,45
Dyslexia,dyslexia,45
EdDSA,eddsa,45
Edges,edges,45
Eight queens puzzle,eight queens puzzle,45
Electrical grid,electrical grid,45
Electromagnetic shielding,electromagnetic shielding,45
Ensemble method,ensemble method,45
Entity relationship,entity relationship,45
Eukaryotic Linear Motif resource,eukaryotic linear motif resource,45
Execution unit,execution unit,45
Exponential map (Riemannian geometry),exponential map,45
Exponential space,exponential space,45
Extended Euclidean algorithm,extended euclidean algorithm,45
Finite horizon,finite horizon,45
First impression (psychology),first impression,45
Fold (geology),fold,45
Form perception,form perception,45
Functional form,functional form,45
Gadget,gadget,45
Game development,game development,45
Gauss–Laguerre quadrature,gauss laguerre quadrature,45
Gene finding,gene finding,45
Gene knockout,gene knockout,45
Gene tree,gene tree,45
General election,general election,45
Generalized extreme value distribution,generalized extreme value distribution,45
Generic cell rate algorithm,generic cell rate algorithm,45
Geographic information retrieval,geographic information retrieval,45
GPRS core network,gprs core network,45
Grade of service,grade of service,45
Gradient descent method,gradient descent method,45
Green threads,green threads,45
Group discussion,group discussion,45
Halin graph,halin graph,45
Hallucinate,hallucinate,45
Haplotypes,haplotypes,45
Happening,happening,45
Health policy,health policy,45
Heyting algebra,heyting algebra,45
Homologous chromosome,homologous chromosome,45
Hybrid learning,hybrid learning,45
ILLIAC,illiac,45
Image forensics,image forensics,45
Image pixel,image pixel,45
Immigration law,immigration law,45
Important task,important task,45
Indoor environment,indoor environment,45
Induction,induction,45
Information explosion,information explosion,45
Information services,information services,45
Initial topology,initial topology,45
Initial training,initial training,45
Input language,input language,45
Integrated system,integrated system,45
Intensive care unit,intensive care unit,45
Interactive multimedia,interactive multimedia,45
Interpolation attack,interpolation attack,45
Inventory theory,inventory theory,45
Ip network,ip network,45
IPv4 address exhaustion,ipv4 address exhaustion,45
JavaScript library,javascript library,45
Jury,jury,45
K-set,k set,45
Kalman filtering,kalman filtering,45
Laboratory,laboratory,45
Land mobile radio,land mobile radio,45
Laplace–Beltrami operator,laplace beltrami operator,45
Lapped transform,lapped transform,45
Last decade,last decade,45
Legal protection,legal protection,45
Local linear,local linear,45
Logic error,logic error,45
Longest alternating subsequence,longest alternating subsequence,45
Loss of heterozygosity,loss of heterozygosity,45
Low noise,low noise,45
Lysine,lysine,45
Main advantage,main advantage,45
Main goal,main goal,45
Matching algorithm,matching algorithm,45
Medical signal processing,medical signal processing,45
Memory-mapped file,memory mapped file,45
Memory performance,memory performance,45
Message routing,message routing,45
Metacomputing,metacomputing,45
Microbial Genomes,microbial genomes,45
Model specification,model specification,45
Modular multiplication,modular multiplication,45
Molecular clock,molecular clock,45
Molecular modeling,molecular modeling,45
Monadic second-order logic,monadic second order logic,45
Money laundering,money laundering,45
Multicriteria decision,multicriteria decision,45
Multilinear principal component analysis,multilinear principal component analysis,45
Multimodal,multimodal,45
Negation introduction,negation introduction,45
Network attack,network attack,45
Noise generator,noise generator,45
Observed data,observed data,45
Opinion analysis,opinion analysis,45
Optical engineering,optical engineering,45
Optical illusion,optical illusion,45
Optical networking,optical networking,45
Otsu's method,otsu s method,45
Packing dimension,packing dimension,45
Patient safety,patient safety,45
Pattern,pattern,45
Peak detection,peak detection,45
Peer-to-peer networks,peer to peer networks,45
Periodic orbits,periodic orbits,45
Phylogenetic inference,phylogenetic inference,45
Place cell,place cell,45
Potassium channel,potassium channel,45
Principal geodesic analysis,principal geodesic analysis,45
Principle of legality,principle of legality,45
Production Rule Representation,production rule representation,45
Pseudo random generator,pseudo random generator,45
Qualia,qualia,45
Quantitative evaluation,quantitative evaluation,45
Quantum cellular automata,quantum cellular automata,45
Quantum noise,quantum noise,45
Quantum system,quantum system,45
Query performance,query performance,45
Quorum sensing,quorum sensing,45
Quotient ring,quotient ring,45
Quotient space (topology),quotient space,45
Reactive planning,reactive planning,45
Reed muller codes,reed muller codes,45
Referral,referral,45
Relay network,relay network,45
Resource allocation algorithm,resource allocation algorithm,45
Retrotransposon,retrotransposon,45
Ringing,ringing,45
RNA polymerase II,rna polymerase ii,45
Robot locomotion,robot locomotion,45
Robotic hand,robotic hand,45
Rod,rod,45
Root name server,root name server,45
Rotation (mathematics),rotation,45
Scalable distributed,scalable distributed,45
Scanning electron microscopy,scanning electron microscopy,45
Selection process,selection process,45
Self-assembly,self assembly,45
Shading language,shading language,45
Shlaer–Mellor method,shlaer mellor method,45
Shore,shore,45
Signal recovery,signal recovery,45
Simplex method,simplex method,45
Single-entry matrix,single entry matrix,45
Single stage,single stage,45
Sodium channel,sodium channel,45
Software protection,software protection,45
Sørensen–Dice coefficient,sorensen dice coefficient,45
Spectral data,spectral data,45
Spectral element method,spectral element method,45
Sql query,sql query,45
Start codon,start codon,45
Steiner point,steiner point,45
Straight skeleton,straight skeleton,45
Stream,stream,45
Strictness analysis,strictness analysis,45
Structural complexity,structural complexity,45
Structural dynamics,structural dynamics,45
Superadditivity,superadditivity,45
Superstring theory,superstring theory,45
Surface topography,surface topography,45
Switched communication network,switched communication network,45
Symmetric Boolean function,symmetric boolean function,45
Synthesis system,synthesis system,45
sysfs,sysfs,45
System,system,45
System administration,system administration,45
System combination,system combination,45
Technical feasibility,technical feasibility,45
Telecommunication links,telecommunication links,45
Telecommunication standards,telecommunication standards,45
Test coverage,test coverage,45
Then test,then test,45
Thin-film transistor,thin film transistor,45
Throughput maximization,throughput maximization,45
Throwing,throwing,45
Time duration,time duration,45
Time sequence,time sequence,45
Timing constraint,timing constraint,45
Toll,toll,45
Training image,training image,45
Translational bioinformatics,translational bioinformatics,45
Tree alignment,tree alignment,45
Tree of life,tree of life,45
Uniformization (set theory),uniformization,45
Universal Plug and Play,universal plug and play,45
Vector flow,vector flow,45
Video recognition,video recognition,45
Virtual training,virtual training,45
Visualization tool,visualization tool,45
Void (astronomy),void,45
Volume visualization,volume visualization,45
Warranty,warranty,45
Weak duality,weak duality,45
Web document,web document,45
Web graph,web graph,45
Wireless ad hoc networks,wireless ad hoc networks,45
Without loss of generality,without loss of generality,45
X3D,x3d,45
Acyclic orientation,acyclic orientation,44
Adiabatic process,adiabatic process,44
Aerial imagery,aerial imagery,44
Algebra of random variables,algebra of random variables,44
Algorithm configuration,algorithm configuration,44
Algorithm theory,algorithm theory,44
Amino Acid Motifs,amino acid motifs,44
Annulus (oil well),annulus,44
Approaches of management,approaches of management,44
Archaea,archaea,44
Assortativity,assortativity,44
Asynchronous method invocation,asynchronous method invocation,44
Autoassociative memory,autoassociative memory,44
Automated technique,automated technique,44
Automatic verification,automatic verification,44
Automotive,automotive,44
Base transceiver station,base transceiver station,44
Basic knowledge,basic knowledge,44
Basic reproduction number,basic reproduction number,44
BiCMOS,bicmos,44
Binary Independence Model,binary independence model,44
Body weight,body weight,44
Brain function,brain function,44
Brazilian Portuguese,brazilian portuguese,44
Business data,business data,44
Canadian traveller problem,canadian traveller problem,44
Candidate key,candidate key,44
Cell adhesion,cell adhesion,44
Child computer interaction,child computer interaction,44
Chip area,chip area,44
Circuit layout,circuit layout,44
Clearance,clearance,44
Clique percolation method,clique percolation method,44
Cn supplementary information,cn supplementary information,44
Co-occurrence matrix,co occurrence matrix,44
Cognate,cognate,44
Commercial search engine,commercial search engine,44
Complete theory,complete theory,44
Computational effort,computational effort,44
Computer network operations,computer network operations,44
Conceptual approach,conceptual approach,44
Continuous stirred-tank reactor,continuous stirred tank reactor,44
Core language,core language,44
Coronavirus,coronavirus,44
Crystallization,crystallization,44
Cuckoo,cuckoo,44
Cycle index,cycle index,44
Ddos attack,ddos attack,44
Dead Peer Detection,dead peer detection,44
Deformable models,deformable models,44
Delta Debugging,delta debugging,44
Design data,design data,44
Developing regions,developing regions,44
DFT matrix,dft matrix,44
Different time,different time,44
Differential coding,differential coding,44
Differential fault analysis,differential fault analysis,44
Digital rights,digital rights,44
Diophantine approximation,diophantine approximation,44
Discounted cumulative gain,discounted cumulative gain,44
Duplex (building),duplex,44
Dynamic dispatch,dynamic dispatch,44
Dynamic equation,dynamic equation,44
Elastic modulus,elastic modulus,44
Embeddedness,embeddedness,44
Empty string,empty string,44
Enterprise search,enterprise search,44
Enzyme kinetics,enzyme kinetics,44
Enzyme structure,enzyme structure,44
Equation of motion,equation of motion,44
Ethernet over PDH,ethernet over pdh,44
Evaluation method,evaluation method,44
Evolutionary approach,evolutionary approach,44
Expression analysis,expression analysis,44
Expression profile,expression profile,44
Factor theorem,factor theorem,44
Feedback with Carry Shift Registers,feedback with carry shift registers,44
Feedforward neural nets,feedforward neural nets,44
Fermat's Last Theorem,fermat s last theorem,44
Finite element method analysis,finite element method analysis,44
Firefighting,firefighting,44
First in first out,first in first out,44
Fixed price,fixed price,44
Flight test,flight test,44
Free riding,free riding,44
Full model,full model,44
Fuses,fuses,44
Futures studies,futures studies,44
Fuzzy programming,fuzzy programming,44
Gap penalty,gap penalty,44
"Garbage in, garbage out",garbage in garbage out,44
Gaussian binomial coefficient,gaussian binomial coefficient,44
Generative process,generative process,44
Glioblastoma,glioblastoma,44
Global software,global software,44
Gps data,gps data,44
Gray graph,gray graph,44
Hamiltonian graph,hamiltonian graph,44
Heapsort,heapsort,44
Heat kernel,heat kernel,44
Heat sink,heat sink,44
Helly's theorem,helly s theorem,44
HFSS,hfss,44
Hierarchical classifier,hierarchical classifier,44
Hierarchical modeling,hierarchical modeling,44
Histone code,histone code,44
Hollywood,hollywood,44
Hybrid routing,hybrid routing,44
Identity by descent,identity by descent,44
Incomplete block design,incomplete block design,44
Index selection,index selection,44
Information providers,information providers,44
Informatization,informatization,44
Ingenuity,ingenuity,44
Input offset voltage,input offset voltage,44
Input signal,input signal,44
Integral cryptanalysis,integral cryptanalysis,44
Intensional logic,intensional logic,44
Interaction techniques,interaction techniques,44
Interactions,interactions,44
Interpolation space,interpolation space,44
Intersection (Euclidean geometry),intersection,44
Invariant measure,invariant measure,44
Inverse trigonometric functions,inverse trigonometric functions,44
Jensen's inequality,jensen s inequality,44
Joint attention,joint attention,44
Jordan curve theorem,jordan curve theorem,44
Judgment aggregation,judgment aggregation,44
Knowledge retrieval,knowledge retrieval,44
Language-based security,language based security,44
Large display,large display,44
Largest empty rectangle,largest empty rectangle,44
Legend,legend,44
Lexical density,lexical density,44
Line integral,line integral,44
Linear codes,linear codes,44
Linear genetic programming,linear genetic programming,44
Linear system of equations,linear system of equations,44
Link budget,link budget,44
Logical analysis,logical analysis,44
Loopy belief propagation,loopy belief propagation,44
Low probability of intercept radar,low probability of intercept radar,44
Lu factorization,lu factorization,44
Major challenge,major challenge,44
Mathematical equations,mathematical equations,44
Mathematical puzzle,mathematical puzzle,44
Maximum error,maximum error,44
Maya,maya,44
Methods of contour integration,methods of contour integration,44
MicroWorlds,microworlds,44
Mobile network operator,mobile network operator,44
Model representation,model representation,44
Modularity (networks),modularity,44
Morphological segmentation,morphological segmentation,44
Multi antenna,multi antenna,44
Multi-core,multi core,44
Multi unit,multi unit,44
Multiplayer game,multiplayer game,44
Multiple EM for Motif Elicitation,multiple em for motif elicitation,44
Multiple testing,multiple testing,44
Multivariate mutual information,multivariate mutual information,44
Multiwavelength optical networking,multiwavelength optical networking,44
Nature inspired,nature inspired,44
Neural network classifier,neural network classifier,44
Neural networks letter,neural networks letter,44
New horizons,new horizons,44
New perspective,new perspective,44
New way,new way,44
Next Generation Mobile Networks,next generation mobile networks,44
Non convex optimization,non convex optimization,44
Non orthogonal,non orthogonal,44
Normal tissue,normal tissue,44
Normed space,normed space,44
Novel object,novel object,44
NOx,nox,44
Nyquist frequency,nyquist frequency,44
Object registration,object registration,44
Odds ratio,odds ratio,44
On-line algorithms,on line algorithms,44
Online encyclopedia,online encyclopedia,44
Online help,online help,44
Open Smart Card Development Platform,open smart card development platform,44
Open source license,open source license,44
Optical proximity correction,optical proximity correction,44
Order dimension,order dimension,44
Parallel software,parallel software,44
Parallel sorting,parallel sorting,44
Particular class,particular class,44
Partition method,partition method,44
Passive monitoring,passive monitoring,44
Passwords,passwords,44
Path-ordering,path ordering,44
Peer group,peer group,44
Periodic sequence,periodic sequence,44
Peripheral,peripheral,44
Permutations,permutations,44
Phase distortion,phase distortion,44
Phenome,phenome,44
Photo editing,photo editing,44
Photonic crystal,photonic crystal,44
Political communication,political communication,44
Posterior parietal cortex,posterior parietal cortex,44
Powerful tool,powerful tool,44
Pram,pram,44
Precedence graph,precedence graph,44
Prefetching,prefetching,44
Prefix sum,prefix sum,44
Preliminary study,preliminary study,44
Preprocessing,preprocessing,44
Preventive maintenance,preventive maintenance,44
Pride,pride,44
Procedural animation,procedural animation,44
Programming assignment,programming assignment,44
Projector camera systems,projector camera systems,44
Prolog program,prolog program,44
Proof by contradiction,proof by contradiction,44
Proprioception,proprioception,44
Protocol specification,protocol specification,44
Quantitative trait loci,quantitative trait loci,44
Quantum discord,quantum discord,44
Random walk closeness centrality,random walk closeness centrality,44
Rdf data,rdf data,44
Real analysis,real analysis,44
Real application,real application,44
Reentry,reentry,44
Relation (database),relation,44
Relative humidity,relative humidity,44
Relative velocity,relative velocity,44
Resulting algorithm,resulting algorithm,44
Ringing artifacts,ringing artifacts,44
Romance,romance,44
Salt (cryptography),salt,44
Security domain,security domain,44
Sensory input,sensory input,44
Sequence matching,sequence matching,44
Shared medium,shared medium,44
Shopping mall,shopping mall,44
Skill development,skill development,44
Smartphone apps,smartphone apps,44
Social distance,social distance,44
Software engineering course,software engineering course,44
Software engineering education,software engineering education,44
Software fault,software fault,44
Source language,source language,44
Spatial data mining,spatial data mining,44
Spirals,spirals,44
Stack trace,stack trace,44
Start up,start up,44
Statistical timing analysis,statistical timing analysis,44
Still face,still face,44
Striatum,striatum,44
Structural rule,structural rule,44
Structure design,structure design,44
Stub (electronics),stub,44
Sublinear algorithms,sublinear algorithms,44
Superlinear convergence,superlinear convergence,44
Surface,surface,44
Synthetic data set,synthetic data set,44
Temporal models,temporal models,44
Time delayed,time delayed,44
Time lag,time lag,44
Translation memory,translation memory,44
Treatment effect,treatment effect,44
Tree edit distance,tree edit distance,44
Twelf,twelf,44
Typed assembly language,typed assembly language,44
Ubiquitin,ubiquitin,44
Valence (chemistry),valence,44
Vantage point,vantage point,44
Vector projection,vector projection,44
Vehicular ad hoc networks,vehicular ad hoc networks,44
Veterinary medicine,veterinary medicine,44
Viral quasispecies,viral quasispecies,44
Visual media,visual media,44
Water cooling,water cooling,44
Wavelet decomposition,wavelet decomposition,44
Whitespace,whitespace,44
Wiener process,wiener process,44
Words per minute,words per minute,44
Work flow,work flow,44
Write amplification,write amplification,44
XML retrieval,xml retrieval,44
Zinc finger,zinc finger,44
Absolutely convex set,absolutely convex set,43
Adaptive thresholding,adaptive thresholding,43
Aes,aes,43
Affinity analysis,affinity analysis,43
Algebraic manipulation,algebraic manipulation,43
Algorithm visualization,algorithm visualization,43
Alternative hypothesis,alternative hypothesis,43
Aluminium,aluminium,43
Analysis software,analysis software,43
Annoyance,annoyance,43
Anode,anode,43
Answer set,answer set,43
Antenna gain,antenna gain,43
Approximation operators,approximation operators,43
Asset management,asset management,43
Association analysis,association analysis,43
Asynchronous circuits,asynchronous circuits,43
Auto tuning,auto tuning,43
Automated system,automated system,43
B trees,b trees,43
Bernoulli number,bernoulli number,43
Bernstein's theorem on monotone functions,bernstein s theorem on monotone functions,43
Binding energy,binding energy,43
Biological computation,biological computation,43
Boundary (topology),boundary,43
Boxicity,boxicity,43
Bracket,bracket,43
Bring your own device,bring your own device,43
Building information modeling,building information modeling,43
Capture recapture,capture recapture,43
Case study research,case study research,43
Causal Markov condition,causal markov condition,43
Cdma systems,cdma systems,43
Central authority,central authority,43
Civil procedure,civil procedure,43
Classroom management,classroom management,43
Cloud provider,cloud provider,43
Common space,common space,43
Companion matrix,companion matrix,43
Complete characterization,complete characterization,43
Complex disease,complex disease,43
Compressive strength,compressive strength,43
Computer-assisted web interviewing,computer assisted web interviewing,43
Consensus problem,consensus problem,43
Contemporary art,contemporary art,43
Content centric,content centric,43
Context-aware services,context aware services,43
Contraction (grammar),contraction,43
Convolutional neural networks,convolutional neural networks,43
Core business,core business,43
Correlation immunity,correlation immunity,43
Criminal investigation,criminal investigation,43
Curve25519,curve25519,43
Cycle rank,cycle rank,43
Danish,danish,43
Data base system,data base system,43
Data confidentiality,data confidentiality,43
Data flow model,data flow model,43
Data hiding,data hiding,43
Database technology,database technology,43
Deduction and theorem proving,deduction and theorem proving,43
Deep knowledge,deep knowledge,43
Dennard scaling,dennard scaling,43
Denoising autoencoder,denoising autoencoder,43
Design structure matrix,design structure matrix,43
Design tools and techniques,design tools and techniques,43
Different feature,different feature,43
Different size,different size,43
Differential (mechanical device),differential,43
Diffuse element method,diffuse element method,43
Digital goods,digital goods,43
Digital signage,digital signage,43
Digital tv,digital tv,43
Discrepancy theory,discrepancy theory,43
Discrete cosine transforms,discrete cosine transforms,43
Discrete Morse theory,discrete morse theory,43
Disease Association,disease association,43
Disengagement theory,disengagement theory,43
Disjoint path,disjoint path,43
Displacement (vector),displacement,43
Disposition,disposition,43
Distortion function,distortion function,43
Distributed object management,distributed object management,43
Document management,document management,43
Dynamic Host Configuration Protocol,dynamic host configuration protocol,43
Early vision,early vision,43
Efficient use,efficient use,43
Elastic matching,elastic matching,43
Electromagnetic induction,electromagnetic induction,43
Electronic equipment,electronic equipment,43
Empirical methods,empirical methods,43
Endoplasmic reticulum,endoplasmic reticulum,43
Error recovery,error recovery,43
Excellent performance,excellent performance,43
Exchange rate,exchange rate,43
Expectation-maximisation algorithm,expectation maximisation algorithm,43
Experimental psychology,experimental psychology,43
Explicit substitution,explicit substitution,43
Exploratory factor analysis,exploratory factor analysis,43
Explosives,explosives,43
Exponential search,exponential search,43
Expression level,expression level,43
Extensive data,extensive data,43
Factor analysis of information risk,factor analysis of information risk,43
